decile,impact_evidence,problem_fit,scale_sustainability,team,tech
0,0.08333333333333333,0.6666666666666666,0.0,0.25,0.0
1,0.09090909090909091,0.5454545454545454,0.0,0.0,0.36363636363636365
2,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.42857142857142855
3,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.07692307692307693
4,0.25,0.0,0.3333333333333333,0.16666666666666666,0.25
5,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.23076923076923078
6,0.25,0.0,0.3333333333333333,0.08333333333333333,0.3333333333333333
7,0.1,0.1,0.4,0.0,0.4
8,0.18181818181818182,0.0,0.36363636363636365,0.0,0.45454545454545453
9,0.1111111111111111,0.0,0.4444444444444444,0.0,0.4444444444444444
10,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666
11,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
